llm,query,first_brand,sentiment_sony,sentiment_beats,sentiment_soundcore
gemini,What are the best headphones with good active noise cancellation?,Sony,0.9997,0.0,0.0
gemini,What are the best headphones with good active noise cancellation?,Sony,0.9995,0.0,0.0
gemini,Are expensive headphones worth it compared with cheaper headphones?,Sony,0.9987,0.0,0.0
gemini,Are expensive headphones worth it compared with cheaper headphones?,Sony,0.999,0.0,0.0
gemini,What are some underrated headphone brands in 2025?,Sony,0.9961,0.0,0.0
gemini,What are some underrated headphone brands in 2025?,Sony,0.9984,0.0,0.0
gemini,Sony WH-1000XM5 vs Beats Studio Pro - which is better and why?,Sony,0.99115,0.99115,0.0
gemini,Sony WH-1000XM5 vs Beats Studio Pro - which is better and why?,Sony,0.99195,0.99195,0.0
gemini,"Compare Sony, Beats, and Bose headphones overall – which is better and why?",Sony,0.9998,0.9998,0.0
gemini,"Compare Sony, Beats, and Bose headphones overall – which is better and why?",Sony,0.9598500000000001,0.9598500000000001,0.0
gemini,Soundcore Space Q45 vs Sony WH-CH720N comparison,Soundcore,0.9996,0.0,0.9996
gemini,Soundcore Space Q45 vs Sony WH-CH720N comparison,Soundcore,0.9991,0.0,0.9991
gemini,Are Beats headphones worth the price compared with Sony headphones?,Sony,0.9302666666666667,0.9302666666666667,0.0
gemini,Are Beats headphones worth the price compared with Sony headphones?,Sony,0.9231333333333334,0.9231333333333334,0.0
gemini,Which headphone brand has the best noise cancellation?,Sony,0.9958,0.0,0.0
gemini,Which headphone brand has the best noise cancellation?,Sony,0.9985,0.0,0.0
gemini,What are the best headphones for bass-heavy music?,Sony,0.9994,0.0,0.0
gemini,What are the best headphones for bass-heavy music?,Sony,0.9997,0.0,0.0
gemini,What are the most durable headphones that can last for years of daily use?,Sennheiser,0.9033,0.0,0.0
gemini,What are the most durable headphones that can last for years of daily use?,Sennheiser,0.9927,0.0,0.0
gemini,Which headphones have the best battery life?,Sennheiser,0.9989,0.0,0.9989
gemini,Which headphones have the best battery life?,Soundcore,0.9919,0.0,0.89125
gemini,What are the best headphones for gaming on budget?,None,0.0,0.0,0.0
gemini,What are the best headphones for gaming on budget?,None,0.0,0.0,0.0
gemini,How has the headphone market changed over the past 5 years? Which brands have risen or declined?,Bose,0.998,0.998,0.998
gemini,How has the headphone market changed over the past 5 years? Which brands have risen or declined?,Sony,0.9967,0.9966,0.9967
gemini,"Compare how Sony, Beats, and Soundcore have evolved as brands in recent years.",Sony,0.902625,0.9671666666666666,0.9671666666666666
gemini,"Compare how Sony, Beats, and Soundcore have evolved as brands in recent years.",Sony,0.9794999999999999,0.9809,0.9887
